timestamp,sample_count,rmse,mae,r2
2025-03-30 02:40:47.421298,100,18.424835232317772,12.10990191575402,-31.191978390055787
2025-03-30 02:40:48.514996,200,15.00586191443148,9.600454208703171,-16.08212885207445
2025-03-30 02:40:49.628122,300,13.414495668108138,8.80524521873309,-10.329424020952468
2025-03-30 02:41:17.614772,400,12.054061997315737,7.650101369841788,-9.022706129970606
2025-03-30 02:42:07.716988,500,11.214411199518798,7.029072522582207,-7.705454129079788
2025-03-30 02:42:32.475811,549,10.960986370080079,6.86206926497571,-6.913535059896193
2025-03-30 02:44:25.851296,100,14.465418714799583,8.945661934367788,-22.018594281272208
2025-03-30 02:45:15.995052,200,13.633566374406646,8.055275677998685,-16.863358277113694
2025-03-30 02:46:05.657914,300,12.131826001544093,7.293801522196131,-12.708718711588327
2025-03-30 02:46:55.728277,400,11.525873330535243,7.179622402274139,-11.5707312185688
2025-03-30 02:47:45.820375,500,10.565945315468458,6.445343303498274,-9.980740476535123
2025-03-30 02:48:35.897383,600,10.066619995168379,6.1379353220921775,-8.69894069206371
2025-03-30 02:48:48.451133,625,9.898575995245626,6.00936174609426,-8.640712677540977
